,Name,Rarity,Price
8940,Elemental HERO Sparkman,Common,1.79
8941,Giant Soldier of Stone,Common,1.31
8942,Gil Garth,Common,1.53
8943,Gyroid,Common,1.33
8944,Inspiration,Common,1.37
8945,La Jinn the Mystical Genie of the Lamp,Common,1.28
8946,Man-Eating Treasure Chest,Common,1.32
8947,Newdoria,Common,1.41
8948,Overdrive,Common,1.32
8949,Robotic Knight,Common,1.31
8950,Sakuretsu Armor,Common,2.14
8951,Shield Crush,Common,1.29
8952,Sonic Duck,Common,1.35
8953,Soul Taker,Common,1.39
8954,Space Mambo,Common,1.68
8955,Summoned Skull,Common,2.28
8956,Threatening Roar,Common,1.76
8957,Warrior Dai Grepher,Common,1.3
8958,"Aether, the Empowering Dragon",Common,5.79
8959,Bashing Shield,Common,5.79
8960,Battleguard King,Common,5.79
8961,Blue Dragon Summoner,Common,3.34
8962,Dark Hole,Common,5.79
8963,Defense Draw,Common,5.79
8964,Doomstar Magician,Common,5.79
8965,Dragoons of Draconia,Common,5.79
8966,Flash Knight,Common,5.79
8967,Foucault's Cannon,Common,5.79
8968,Inspiration,Common,5.09
8969,Lancephorhynchus,Common,5.79
8970,Mirror Force,Common,5.0
8971,Mystical Elf,Common,5.79
8972,Nightmare's Steelcage,Common,5.79
8973,Old Vindictive Magician,Common,5.79
8974,Reckless Greed,Common,5.79
8975,Riryoku,Common,75.64
8976,Wonder Wand,Common,3.14
8977,Dark Blade,Common,1.44
8978,Des Koala,Common,1.63
8979,Exiled Force,Common,1.6
8980,Fissure,Common,1.7
8981,Gene-Warped Warwolf,Common,1.32
8982,Hayabusa Knight,Common,1.32
8983,Majestic Mech - Ohka,Common,1.32
8984,Man-Eater Bug,Common,2.5
8985,Marauding Captain,Common,1.32
8986,Mask of Weakness,Common,1.27
8987,No Entry!!,Common,1.29
8988,Rising Energy,Common,1.43
8989,Sabersaurus,Common,1.3
8990,Secret Barrel,Common,2.49
8991,Summoned Skull,Common,1.95
8992,The Calculator,Common,1.49
8993,The Fiend Megacyber,Common,1.47
8994,The Warrior Returning Alive,Common,1.22
8995,Threatening Roar,Common,1.7
8996,Upstart Goblin,Common,2.25
8997,Abyss Actor - Evil Heel,Secret Rare,2.35
8998,Abyss Actor - Extras,Super Rare,1.53
8999,Abyss Actor - Funky Comedian,Super Rare,1.39
9000,Abyss Actor - Leading Lady,Secret Rare,1.69
9001,Abyss Actor - Sassy Rookie,Super Rare,3.69
9002,Abyss Actor - Superstar,Secret Rare,1.82
9003,Abyss Actor - Wild Hope,Secret Rare,3.73
9004,Abyss Actors Back Stage,Super Rare,1.27
9005,Abyss Prop - Wild Wagon,Super Rare,1.2
9006,Abyss Script - Fantasy Magic,Super Rare,1.29
9007,Abyss Script - Fire Dragon's Lair,Super Rare,1.34
9008,Abyss Script - Opening Ceremony,Super Rare,1.39
9009,Abyss Script - Rise of the Abyss King,Secret Rare,1.99
9010,Advance Draw,Super Rare,1.28
9011,Allure of Darkness,Super Rare,4.45
9012,Archlord Kristya,Super Rare,3.44
9013,Banishment of the Darklords,Secret Rare,4.33
9014,Creeping Darkness,Super Rare,1.24
9015,D Cubed,Secret Rare,1.37
9016,D-Fusion,Secret Rare,1.55
9017,Dark Eruption,Super Rare,1.32
9018,Dark Hole,Super Rare,2.27
9019,Dark Illusion,Super Rare,2.13
9020,Dark Mambele,Super Rare,1.19
9021,Darklord Amdusc,Secret Rare,4.79
9022,Darklord Asmodeus,Super Rare,1.27
9023,Darklord Contact,Secret Rare,3.11
9024,Darklord Edeh Arae,Super Rare,1.25
9025,Darklord Enchantment,Secret Rare,1.79
9026,Darklord Ixchel,Secret Rare,8.96
9027,Darklord Marie,Super Rare,1.33
9028,Darklord Morningstar,Secret Rare,4.53
9029,Darklord Nasten,Secret Rare,6.96
9030,Darklord Nurse Reficule,Super Rare,2.12
9031,Darklord Rebellion,Secret Rare,1.74
9032,Darklord Superbia,Super Rare,1.66
9033,Darklord Tezcatlipoca,Secret Rare,3.74
9034,Darklord Zerato,Super Rare,1.66
9035,Destiny Draw,Super Rare,1.48
9036,Destiny End Dragoon,Super Rare,1.26
9037,Destiny HERO - Celestial,Secret Rare,15.27
9038,Destiny HERO - Dark Angel,Secret Rare,10.84
9039,Destiny HERO - Decider,Secret Rare,3.16
9040,Destiny HERO - Diamond Dude,Super Rare,1.31
9041,Destiny HERO - Dogma,Super Rare,1.3
9042,Destiny HERO - Drilldark,Super Rare,1.67
9043,Destiny HERO - Dynatag,Super Rare,1.81
9044,Destiny HERO - Dystopia,Secret Rare,6.29
9045,Destiny HERO - Malicious,Super Rare,5.31
9046,Destiny HERO - Plasma,Super Rare,1.59
9047,Destiny Signal,Super Rare,1.24
9048,Doomsday Horror,Super Rare,1.23
9049,Escape from the Dark Dimension,Super Rare,1.25
9050,Fires of Doomsday,Super Rare,1.47
9051,Over Destiny,Super Rare,1.19
9052,"Prometheus, King of the Shadows",Super Rare,1.19
9053,The Beginning of the End,Super Rare,2.41
9054,Trade-In,Super Rare,5.48
9055,"Valhalla, Hall of the Fallen",Super Rare,1.66
9056,Veil of Darkness,Super Rare,1.25
9057,Alba-Lenatus the Abyss Dragon,Secret Rare,12.14
9058,Alba-Lenatus the Abyss Dragon,Starlight Rare,12.14
9059,Alghoul Mazera,Common,1.9
9060,Amphibious Bugroth MK-11,Common,2.17
9061,Ancient Warriors - Savage Don Ying,Common,1.96
9062,Ancient Warriors Saga - Deception and Betrayal,Common,2.05
9063,Backup Team,Common,1.89
9064,Battleguard Cadet,Common,2.07
9065,Beyond the Pendulum,Secret Rare,15.33
9066,Branded Banishment,Super Rare,3.58
9067,Branded Loss,Common,1.81
9068,Changshi the Spiridao,Super Rare,1.39
9069,Chow Sai the Ghost Stopper,Super Rare,1.91
9070,Colonel on C-String,Common,2.01
9071,Crow Tengu,Common,2.13
9072,"Curse of Dragon, the Magical Knight Dragon",Super Rare,1.89
9073,Devouring Sarcoughagus,Common,2.17
9074,Dinomorphia Frenzy,Ultra Rare,3.88
9075,Dinomorphia Rexterm,Ultra Rare,3.6
9076,Divine Dragon Titanomakhia,Common,2.19
9077,Dogmatikaturgy,Common,1.94
9078,Endless Engine Argyro System,Ultra Rare,1.75
9079,Exosisters Magnifica,Ultra Rare,3.44
9080,Exosisters Magnifica,Starlight Rare,3.4
9081,Extra Pendulum,Super Rare,1.95
9082,Generalprobe,Common,1.92
9083,Ghost Belle & Haunted Mansion,Starlight Rare,319.58
9084,Haunted Zombies,Common,1.95
9085,Heroic Challenger - Knuckle Sword,Common,1.94
9086,Heroic Challenger - Morning Star,Common,2.06
9087,Heroic Champion - Claivesolish,Super Rare,1.82
9088,Heroic Champion - Jarngreipr,Common,1.91
9089,Heroic Envoy,Super Rare,1.75
9090,Icejade Curse,Common,1.79
9091,Ichiroku's Ledger Book,Common,1.93
9092,Illegal Knight,Secret Rare,3.23
9093,Immortal Dragon,Super Rare,1.68
9094,Libromancer Bonded,Super Rare,1.85
9095,Libromancer Displaced,Ultra Rare,1.5
9096,Libromancer Fire,Secret Rare,5.16
9097,Libromancer Fireburst,Ultra Rare,2.09
9098,Libromancer Mystigirl,Super Rare,1.94
9099,Libromancer Prevented,Super Rare,1.72
9100,Libromancer Realized,Super Rare,1.86
9101,Light Law Medium,Common,2.02
9102,Mad Mauler,Common,1.79
9103,Materiactor Annulus,Common,2.11
9104,Motor Frenzy,Super Rare,1.77
9105,Musical Sumo Dice Games,Common,2.06
9106,Navy Dragon Mech,Super Rare,1.84
9107,Noh-P.U.N.K. Deer Note,Ultra Rare,8.48
9108,Odd-Eyes Pendulumgraph Dragon,Secret Rare,2.61
9109,Odd-Eyes Wing Dragon,Super Rare,1.3
9110,Omega Judgment,Common,1.97
9111,Parasomnia Pillow,Common,2.1
9112,Patissciel Couverture,Super Rare,1.83
9113,Patissciel Couverture,Starlight Rare,1.86
9114,Pendulum Scale,Common,2.04
9115,Performapal Gentrude,Super Rare,1.74
9116,Performapal Ladyange,Super Rare,1.25
9117,Predaplant Ambulomelides,Common,1.19
9118,Predaplant Bufolicula,Common,1.21
9119,Predaplant Byblisp,Common,1.2
9120,Predaplant Triantis,Common,1.97
9121,Primitive Planet Reichphobia,Ultra Rare,8.16
9122,Psychic End Punisher,Secret Rare,30.73
9123,Red-Eyes Zombie Dragon Lord,Ultra Rare,4.64
9124,Reverse Jar,Common,2.03
9125,Scareclaw Acro,Common,1.9
9126,Scareclaw Alternative,Common,1.9
9127,Scareclaw Arrival,Super Rare,2.79
9128,Scareclaw Astra,Common,1.82
9129,Scareclaw Belone,Common,1.88
9130,Scareclaw Reichheart,Ultra Rare,18.27
9131,Scareclaw Sclash,Super Rare,2.04
9132,Scareclaw Tri-Heart,Secret Rare,12.11
9133,Skeletal Dragon Felgrand,Ultra Rare,2.04
9134,Starving Venom Predapower Fusion Dragon,Ultra Rare,2.18
9135,Sunlit Sentinel,Common,2.15
9136,Supreme Sea Mare,Common,1.82
9137,Surprise Chain,Common,1.93
9138,Sylvan Dancepione,Super Rare,1.3
9139,Symphonic Warrior DJJ,Common,1.93
9140,Symphonic Warrior Guitariss,Common,1.84
9141,Symphonic Warrior Rockks,Common,1.82
9142,The Weather Forecast,Super Rare,1.24
9143,The Weather Painter Moonbow,Ultra Rare,1.65
9144,"Therion ""Bull"" Ain",Common,2.01
9145,"Therion ""Duke"" Yul",Common,1.72
9146,"Therion ""King"" Regulus",Secret Rare,66.01
9147,"Therion ""King"" Regulus",Starlight Rare,62.4
9148,"Therion ""Lily"" Borea",Secret Rare,6.21
9149,"Therion ""Reaper"" Fum",Common,1.7
9150,Therion Charge,Super Rare,1.78
9151,Therion Cross,Super Rare,1.88
9152,Therion Discolosseum,Ultra Rare,5.09
9153,Therion Stand Up!,Common,1.86
9154,V-LAN Hydra,Common,1.92
9155,Visas Starfrost,Secret Rare,34.43
9156,Vivid Tail,Common,1.99
9157,War Rock Medium,Common,1.91
9158,XX-clusion,Common,2.17
9159,"Yakusa, Lord of the Eight Thunders",Super Rare,1.8
9160,Yamatako Orochi,Common,2.06
9161,Zombie Reborn,Super Rare,1.5
9162,Visas Starfrost,Ultra Rare,36.13
9163,Assault Blackwing - Kunai the Drizzle,Rare,1.89
9164,Assault Blackwing - Raikiri the Rain Shower,Ultra Rare,5.58
9165,Assault Blackwing - Raikiri the Rain Shower,Ultimate Rare,5.67
9166,Beginning Knight,Super Rare,6.51
9167,Black Luster Soldier - Super Soldier,Ultra Rare,11.1
9168,Black Luster Soldier - Super Soldier,Ultimate Rare,22.64
9169,Blazing Mirror Force,Secret Rare,5.77
9170,Charging Gaia the Fierce Knight,Ultra Rare,3.55
9171,Contract Laundering,Common,1.25
9172,D/D Berfomet,Rare,1.79
9173,D/D Necro Slime,Common,1.28
9174,D/D Savant Galilei,Common,1.25
9175,D/D Savant Kepler,Common,1.57
9176,D/D Swirl Slime,Common,1.34
9177,D/D/D Contract Change,Common,1.26
9178,D/D/D Duo-Dawn King Kali Yuga,Super Rare,1.88
9179,D/D/D Human Resources,Common,1.2
9180,D/D/D Oblivion King Abyss Ragnarok,Rare,1.66
9181,D/D/D Rebel King Leonidas,Super Rare,1.88
9182,D/D/D Wave King Caesar,Rare,2.54
9183,D/D/D Wave Oblivion King Caesar Ragnarok,Super Rare,2.3
9184,Dark Contract with Errors,Common,1.28
9185,Dark Contract with the Gate,Common,1.45
9186,Dark Contract with the Swamp King,Common,1.27
9187,Dark Contract with the Witch,Common,1.2
9188,Deskbot 006,Common,1.43
9189,Deskbot Jet,Common,1.3
9190,Dr. Frankenderp,Short Print,1.35
9191,Evening Twilight Knight,Super Rare,10.8
9192,First-Aid Squad,Short Print,1.19
9193,Fluffal Wings,Common,1.74
9194,Frightfur March,Common,1.31
9195,Frightfur Sabre-Tooth,Ultra Rare,2.95
9196,"Gameciel, the Sea Turtle Kaiju",Rare,9.12
9197,Gateway to Chaos,Super Rare,4.74
9198,Giant Pairfish,Rare,1.32
9199,Grand Horn of Heaven,Common,1.28
9200,Graydle Alligator,Common,1.3
9201,Graydle Cobra,Common,1.3
9202,Graydle Dragon,Super Rare,6.99
9203,Graydle Eagle,Common,1.31
9204,Graydle Impact,Common,1.36
9205,Graydle Parasite,Super Rare,2.57
9206,Graydle Slime,Rare,1.48
9207,Graydle Split,Common,1.27
9208,Igknight Cavalier,Common,1.29
9209,Igknight Reload,Ultra Rare,1.98
9210,Igknight Veteran,Common,1.25
9211,Kaiju Capture Mission,Common,1.28
9212,Kozmo DOG Fighter,Super Rare,1.94
9213,Kozmo Dark Destroyer,Secret Rare,23.77
9214,Kozmo Lightsword,Common,1.29
9215,Kozmo Strawman,Ultra Rare,5.55
9216,Kozmoll Wickedwitch,Common,1.33
9217,Majespecter Cat - Nekomata,Super Rare,1.59
9218,Majespecter Crow - Yata,Common,1.26
9219,Majespecter Cyclone,Super Rare,3.19
9220,Majespecter Fox - Kyubi,Common,1.28
9221,Majespecter Raccoon - Bunbuku,Ultra Rare,7.09
9222,Majespecter Storm,Common,1.22
9223,Majespecter Tempest,Common,1.22
9224,Majespecter Tornado,Ultra Rare,1.76
9225,Majespecter Unicorn - Kirin,Rare,1.97
9226,"Majester Paladin, the Ascending Dracoslayer",Ultra Rare,3.91
9227,"Majester Paladin, the Ascending Dracoslayer",Ultimate Rare,3.72
9228,Majesty's Pegasus,Super Rare,2.55
9229,Odd-Eyes Fusion,Secret Rare,3.01
9230,Odd-Eyes Vortex Dragon,Secret Rare,5.76
9231,Odd-Eyes Vortex Dragon,Ultimate Rare,12.65
9232,Painful Decision,Secret Rare,4.97
9233,Painful Escape,Secret Rare,1.67
9234,Pendulum Area,Rare,1.28
9235,Performage Mirror Conductor,Common,1.17
9236,Performage Plushfire,Common,1.29
9237,Performapal Helpprincess,Rare,1.3
9238,Performapal Secondonkey,Rare,1.34
9239,Performapal Splashmammoth,Rare,1.3
9240,Pot of The Forbidden,Short Print,2.02
9241,Psychic Blade,Common,1.34
9242,"Radian, the Multidimensional Kaiju",Rare,5.2
9243,Raidraptor - Fiend Eagle,Rare,1.32
9244,Raidraptor - Skull Eagle,Common,1.3
9245,Raidraptor - Wild Vulture,Common,1.26
9246,Rank-Up-Magic Raid Force,Rare,1.72
9247,Raptor's Ultimate Mace,Common,1.25
9248,Samurai Cavalry of Reptier,Rare,1.32
9249,Scarlight Red Dragon Archfiend,Secret Rare,20.03
9250,Scarlight Red Dragon Archfiend,Ultimate Rare,22.24
9251,Scarlight Red Dragon Archfiend,Ghost Rare,21.78
9252,Shuffle Reborn,Common,1.24
9253,Skilled Red Magician,Rare,1.34
9254,Sphere Kuriboh,Rare,1.55
9255,Super Rush Headlong,Short Print,1.31
9256,Super Soldier Rebirth,Common,1.3
9257,Super Soldier Ritual,Rare,2.32
9258,Super Soldier Shield,Ultra Rare,2.21
9259,Super Soldier Soul,Common,1.31
9260,Superheavy Samurai Drum,Common,1.29
9261,Superheavy Samurai Soulclaw,Common,1.72
9262,Superheavy Samurai Soulhorns,Common,2.46
9263,Superheavy Samurai Thief,Common,2.88
9264,Superheavy Samurai Transporter,Common,1.31
9265,The Legendary Fisherman III,Super Rare,4.27
9266,Toon Barrel Dragon,Rare,1.73
9267,Urgent Ritual Art,Secret Rare,2.86
9268,"Vector Pendulum, the Dracoverlord",Super Rare,3.37
9269,Engraver of the Mark,Super Rare,8.99
9270,Frightfur Tiger,Super Rare,4.82
9271,Ultimaya Tzolkin,Super Rare,5.99
9272,Babycerasaurus,Common,1.35
9273,Big Evolution Pill,Common,1.29
9274,Black Brachios,Common,1.22
9275,Burial from a Different Dimension,Common,1.91
9276,Chewbone,Common,1.21
9277,Evilswarm Salamandra,Common,1.18
9278,Extinction on Schedule,Common,1.17
9279,Fossil Dig,Common,1.58
9280,Fossil Excavation,Common,1.85
9281,Gilasaurus,Common,1.27
9282,Grand Horn of Heaven,Common,1.29
9283,Jurraegg Token,Common,2.85
9284,Lost World,Super Rare,2.19
9285,Megalosmasher X,Common,1.76
9286,Miracle Jurassic Egg,Common,1.27
9287,Miscellaneousaurus,Common,1.43
9288,Nightmare Archfiends,Common,1.22
9289,Ojama Trio,Common,1.76
9290,Painful Decision,Common,2.6
9291,Petiteranodon,Ultra Rare,3.58
9292,Quaking Mirror Force,Common,2.3
9293,Rescue Rabbit,Common,1.38
9294,Sabersaurus,Common,1.29
9295,Sauropod Brachion,Common,1.23
9296,Secret Blast,Common,1.36
9297,Skelesaurus,Common,1.86
9298,Souleating Oviraptor,Super Rare,3.6
9299,Stegocyber,Common,1.92
9300,Super Conductor Tyranno,Common,1.18
9301,Super-Ancient Dinobeast,Common,1.24
9302,Survival of the Fittest,Common,1.31
9303,Survival's End,Super Rare,1.24
9304,Swords of Concealing Light,Common,1.67
9305,Terraforming,Common,1.56
9306,Trifortressops,Common,1.99
9307,Twin Twisters,Common,1.94
9308,Tyranno Infinity,Common,1.3
9309,Ultimate Conductor Tyranno,Ultra Rare,2.37
9310,Ultimate Tyranno,Common,1.27
9311,Unexpected Dai,Common,1.68
9312,A Wingbeat of Giant Dragon,Common,1.3
9313,Axe Dragonute,Common,1.28
9314,Black Dragon's Chick,Common,1.81
9315,Blue-Eyes White Dragon,Common,2.17
9316,Book of Moon,Common,2.15
9317,Burst Breath,Common,1.22
9318,Burst Stream of Destruction,Common,1.26
9319,Call of the Haunted,Common,1.32
9320,Card Trader,Common,1.29
9321,Chaos Sorcerer,Common,1.47
9322,Chaos Zone,Common,1.31
9323,Charge of the Light Brigade,Common,1.97
9324,D.D.R. - Different Dimension Reincarnation,Common,1.61
9325,Dark Armed Dragon,Common,1.58
9326,Darkflare Dragon,Ultra Rare,1.35
9327,Dragon's Rebirth,Common,1.42
9328,Eclipse Wyvern,Super Rare,1.56
9329,Escape from the Dark Dimension,Common,1.23
9330,"Gragonith, Lightsworn Dragon",Common,1.29
9331,Herald of Creation,Common,1.24
9332,Inferno Fire Blast,Common,1.34
9333,Interdimensional Matter Transporter,Common,1.26
9334,"Jain, Lightsworn Paladin",Common,1.36
9335,Kaibaman,Common,1.29
9336,Lightpulsar Dragon,Ultra Rare,1.63
9337,Lord of D.,Common,1.39
9338,"Lyla, Lightsworn Sorceress",Common,1.46
9339,Magical Stone Excavation,Common,1.31
9340,Monster Gate,Common,1.39
9341,Mystic Tomato,Common,1.79
9342,Prime Material Dragon,Common,1.65
9343,Reasoning,Common,1.9
9344,Red-Eyes Black Dragon,Common,1.8
9345,Red-Eyes Darkness Metal Dragon,Common,1.58
9346,"Ryko, Lightsworn Hunter",Common,1.99
9347,Snipe Hunter,Common,1.55
9348,Summoner Monk,Common,1.4
9349,The Flute of Summoning Dragon,Common,1.59
9350,The White Stone of Legend,Common,1.39
9351,Vice Dragon,Common,1.27
9352,Amulet Dragon,Secret Rare,10.93
9353,Assault Dog,Super Rare,1.31
9354,Ayers Rock Sunrise,Super Rare,1.44
9355,Battle Fusion,Super Rare,1.34
9356,Berserker Soul,Secret Rare,1.57
9357,Black Sonic,Secret Rare,3.14
9358,Black Wing Revenge,Super Rare,1.3
9359,Blackwing - Hurricane the Tornado,Super Rare,1.43
9360,Blackwing - Oroshi the Squall,Super Rare,2.25
9361,Blackwing - Steam the Cloak,Super Rare,2.27
9362,Carboneddon,Super Rare,1.57
9363,Celestial Sword - Eatos,Super Rare,1.65
9364,Construction Train Signal Red,Super Rare,1.31
9365,Dark Magician Girl the Dragon Knight,Secret Rare,60.47
9366,Doble Passe,Secret Rare,1.71
9367,Express Train Trolley Olley,Secret Rare,1.61
9368,Final Fusion,Super Rare,1.4
9369,Fire Hand,Secret Rare,2.62
9370,Flash Fusion,Super Rare,1.31
9371,Gate Blocker,Secret Rare,2.03
9372,Guarded Treasure,Secret Rare,2.13
9373,Guardian Dreadscythe,Secret Rare,2.19
9374,Guardian Eatos,Super Rare,1.34
9375,Ice Hand,Secret Rare,2.39
9376,Kuribandit,Secret Rare,2.73
9377,Legend of Heart,Secret Rare,4.8
9378,Legendary Knight Timaeus,Secret Rare,9.2
9379,Lillybot,Super Rare,1.29
9380,Lionhearted Locomotive,Super Rare,1.28
9381,Magic Hand,Super Rare,1.3
9382,Mathematician,Secret Rare,4.09
9383,Mound of the Bound Creator,Secret Rare,3.85
9384,Number 73: Abyss Splash,Super Rare,1.65
9385,Number C106: Giant Red Hand,Super Rare,1.4
9386,Number C5: Chaos Chimera Dragon,Super Rare,1.62
9387,Number C73: Abyss Supra Splash,Super Rare,1.55
9388,Pair Cycroid,Super Rare,1.49
9389,Prominence Hand,Super Rare,1.31
9390,Ra's Disciple,Secret Rare,6.52
9391,Rank-Up-Magic Admiration of the Thousands,Secret Rare,1.55
9392,Rank-Up-Magic Quick Chaos,Secret Rare,1.73
9393,Reaper Scythe - Dreadscythe,Super Rare,1.32
9394,Relay Soul,Super Rare,1.32
9395,Rising Sun Slash,Super Rare,1.29
9396,Sabatiel - The Philosopher's Stone,Super Rare,1.31
9397,Shadow Impulse,Super Rare,1.28
9398,Shooting Star,Secret Rare,1.57
9399,Soul Charge,Super Rare,2.13
9400,The Eye of Timaeus,Secret Rare,22.18
9401,Train Connection,Super Rare,1.31
9402,Wiretap,Super Rare,1.62
9403,Aqua Story - Urashima,Super Rare,1.22
9404,Aquaactress Arowana,Super Rare,1.27
9405,Aquaactress Guppy,Super Rare,1.26
9406,Aquaactress Tetra,Super Rare,1.27
9407,Aquarium Lighting,Super Rare,1.24
9408,Aquarium Set,Super Rare,1.27
9409,Aquarium Stage,Super Rare,1.31
9410,Black Cat-astrophe,Super Rare,1.28
9411,Comic Hand,Secret Rare,6.98
9412,Dark Dragon Ritual,Super Rare,1.3
9413,Doom Virus Dragon,Secret Rare,8.93
9414,Double Magical Arm Bind,Super Rare,1.26
9415,Goddess Bow,Secret Rare,1.31
9416,Legendary Knight Critias,Secret Rare,1.63
9417,Legendary Knight Hermos,Secret Rare,1.62
9418,Lord of the Red,Secret Rare,2.03
9419,Mimicat,Secret Rare,13.91
9420,Mirror Force Dragon,Secret Rare,8.52
9421,Paladin of Dark Dragon,Secret Rare,1.72
9422,Prediction Princess Arrowsylph,Super Rare,1.3
9423,Prediction Princess Astromorrigan,Super Rare,1.28
9424,Prediction Princess Coinorma,Super Rare,1.29
9425,Prediction Princess Crystaldine,Super Rare,1.27
9426,Prediction Princess Petalelf,Super Rare,1.3
9427,Prediction Princess Tarotrei,Secret Rare,1.62
9428,Prediction Ritual,Super Rare,1.27
9429,Red-Eyes Black Dragon Sword,Secret Rare,2.63
9430,Red-Eyes Burn,Super Rare,1.7
9431,Red-Eyes Spirit,Super Rare,2.44
9432,Red-Eyes Transmigration,Super Rare,1.28
9433,Reverse Reuse,Super Rare,1.27
9434,Rocket Hermos Cannon,Secret Rare,1.36
9435,Roulette Spider,Super Rare,1.35
9436,Shadow Toon,Super Rare,1.86
9437,The Claw of Hermos,Secret Rare,4.67
9438,The Fang of Critias,Secret Rare,5.24
9439,Timaeus the Knight of Destiny,Secret Rare,1.66
9440,Time Magic Hammer,Secret Rare,1.52
9441,Toon Ancient Gear Golem,Super Rare,1.76
9442,Toon Briefcase,Super Rare,2.48
9443,Toon Kingdom,Secret Rare,23.45
9444,Toon Mask,Secret Rare,2.44
9445,Toon Rollback,Super Rare,2.1
9446,Tyrant Burst Dragon,Secret Rare,1.74
9447,Tyrant Wing,Super Rare,1.27
9448,Amulet Dragon,Ultra Rare,1.7
9449,Aqua Story - Urashima,Common,1.23
9450,Aquaactress Arowana,Common,1.18
9451,Aquaactress Guppy,Common,1.85
9452,Aquaactress Tetra,Common,1.19
9453,Aquarium Lighting,Common,1.18
9454,Aquarium Set,Common,1.85
9455,Aquarium Stage,Common,1.24
9456,Assault Dog,Common,1.88
9457,Awakening of the Possessed - Gagigobyte,Secret Rare,0.65
9458,Awakening of the Possessed - Rasenryu,Secret Rare,0.5
9459,Ayers Rock Sunrise,Common,1.2
9460,Battle Fusion,Common,1.2
9461,Berserker Soul,Common,1.83
9462,Black Cat-astrophe,Common,1.24
9463,Black Sonic,Ultra Rare,1.39
9464,Black Wing Revenge,Common,1.19
9465,Blackwing - Hurricane the Tornado,Common,1.95
9466,Blackwing - Oroshi the Squall,Common,1.27
9467,Blackwing - Steam the Cloak,Common,2.06
9468,Carboneddon,Common,1.26
9469,Celestial Sword - Eatos,Common,1.81
9470,Cipher Wing,Common,1.78
9471,Comic Hand,Ultra Rare,4.98
9472,Construction Train Signal Red,Common,1.87
9473,Cyber Angel Benten,Common,1.27
9474,Cyber Angel Dakini,Common,1.25
9475,Cyber Angel Idaten,Common,1.3
9476,Cyber Petit Angel,Common,1.29
9477,Cyber Slash Harpie Lady,Secret Rare,25.99
9478,Dark Dragon Ritual,Common,1.81
9479,Dark Magician Girl the Dragon Knight,Ultra Rare,7.05
9480,Divine Serpent Geh,Common,1.9
9481,Doble Passe,Common,1.21
9482,Doom Virus Dragon,Ultra Rare,1.93
9483,Double Magical Arm Bind,Common,1.26
9484,Express Train Trolley Olley,Common,1.23
9485,Final Fusion,Common,1.8
9486,Fire Hand,Common,1.84
9487,Flash Fusion,Common,1.26
9488,Flower Cardian Lightshower,Ultra Rare,1.76
9489,Flower Cardian Paulownia,Common,1.28
9490,Flower Cardian Paulownia with Phoenix,Common,1.27
9491,Flower Cardian Pine,Common,1.33
9492,Flower Cardian Pine with Crane,Common,1.86
9493,Flower Cardian Willow,Common,1.81
9494,Flower Cardian Willow with Calligrapher,Common,1.98
9495,Flower Cardian Zebra Grass,Common,1.36
9496,Flower Cardian Zebra Grass with Moon,Common,1.79
9497,Flower Gathering,Common,1.75
9498,Galaxy Stealth Dragon,Ultra Rare,1.3
9499,Galaxy-Eyes Cipher Dragon,Ultra Rare,4.99
9500,Gate Blocker,Common,1.19
9501,Goddess Bow,Common,1.25
9502,Guarded Treasure,Common,1.76
9503,Guardian Dreadscythe,Common,1.27
9504,Guardian Eatos,Common,1.87
9505,Hand-Holding Genie,Common,1.26
9506,Hundred Dragon,Secret Rare,3.99
9507,Ice Hand,Common,1.86
9508,Jinzo - Layered,Secret Rare,8.15
9509,Kuribandit,Ultra Rare,1.34
9510,Legend of Heart,Common,1.27
9511,Legendary Knight Critias,Ultra Rare,1.36
9512,Legendary Knight Hermos,Ultra Rare,1.75
9513,Legendary Knight Timaeus,Ultra Rare,1.42
9514,Lillybot,Common,1.95
9515,Lionhearted Locomotive,Common,1.92
9516,Lord of the Red,Common,1.37
9517,Machine Angel Ritual,Common,1.91
9518,Magic Hand,Common,1.87
9519,Mathematician,Ultra Rare,1.31
9520,Mimicat,Ultra Rare,2.25
9521,Mirror Force Dragon,Common,1.42
9522,Mound of the Bound Creator,Common,1.85
9523,Night Express Knight,Common,1.66
9524,Number 100: Numeron Dragon,Ultra Rare,6.27
9525,Number 24: Dragulas the Vampiric Dragon,Ultra Rare,3.46
9526,Number 45: Crumble Logos the Prophet of Demolition,Ultra Rare,1.58
9527,Number 51: Finisher the Strong Arm,Common,1.85
9528,Number 59: Crooked Cook,Common,2.16
9529,Number 73: Abyss Splash,Common,1.86
9530,Number 78: Number Archive,Common,1.91
9531,Number 98: Antitopian,Common,1.27
9532,Number C106: Giant Red Hand,Common,1.31
9533,Number C5: Chaos Chimera Dragon,Common,1.93
9534,Number C73: Abyss Supra Splash,Common,1.27
9535,Odd-Eyes Mirage Dragon,Common,1.9
9536,Orichalcos Shunoros,Common,1.79
9537,Pair Cycroid,Common,1.3
9538,Paladin of Dark Dragon,Ultra Rare,1.34
9539,Performapal Corn,Common,1.28
9540,Performapal Uni,Common,1.82
9541,Prediction Princess Arrowsylph,Common,1.79
9542,Prediction Princess Astromorrigan,Common,1.83
9543,Prediction Princess Coinorma,Common,1.91
9544,Prediction Princess Crystaldine,Common,1.88
9545,Prediction Princess Petalelf,Common,1.28
